,Unnamed: 0,customer_id,product_id,star_rating
0,57,38443412,B00HQVTMK0,2
1,63,35789310,B00F877VES,4
2,68,38575075,B008EPW7TA,5
3,74,12166830,B008UGPBXM,5
4,107,19951707,B00CTKBTH2,4
5,109,52464985,B00HZN1WXE,4
6,125,50984455,B00629NHW6,5
7,187,47178473,B00AMH17GC,5
10,251,16255502,B00HZV9TGS,5
11,258,49613540,B008Y92PS4,5
12,259,24133606,B008G80FHQ,4
14,286,17993172,B0015A8Y5M,5
15,293,11361264,B00001P505,5
16,325,17993172,B005SUM1PO,4
17,334,11030210,B001GTT0VO,5
18,341,39583224,B001DFZ5G0,5
20,368,32526543,B0001IM95U,4
21,383,24133606,B00JRD13T8,1
22,392,6069340,B001QV2AKK,5
23,395,17993172,B00ILCS182,5
24,467,33843893,B00LM6BNP2,4
26,493,38795001,B008XMV05G,1
30,580,48176711,B00JPITXBK,5
32,592,29074561,B005AL5UWC,5
33,638,36871374,B00A2QM5O6,5
34,642,19616374,B008D5YG3G,5
35,666,10965808,B007T0W5CA,5
36,681,14906085,B008NCD2PC,5
38,715,14906085,B00JR6GJLW,1
39,741,37903094,B00ISJO088,5
40,788,14906085,B0012S4APK,5
42,814,52551506,B00OLNX4BE,5
44,846,14240443,B004C87WQ6,4
46,987,43818042,B00KL7C10O,5
48,1019,45366919,B000XPG2QI,4
49,1031,43818042,B00B6QXWIY,5
51,1052,42178938,B00GXJGFCY,5
53,1064,24609559,B00PVNIA6W,1
55,1092,44145804,B00MFDX4YO,5
56,1100,38101478,B000092TT0,5
57,1179,42075110,B00KW2ZDHQ,5
58,1197,21464643,B00CBD65WG,5
59,1202,39471730,B00QM8V576,2
61,1232,40149595,B00C4FU52C,5
63,1272,49335553,B000FA07NK,5
64,1274,15038099,B00V6QDTD2,4
65,1306,38934280,B00QHOCTG6,5
66,1336,32948681,B0036VO5OC,2
68,1374,16255502,B0087RMR3Q,4
69,1388,51236723,B00OJZOOLI,5
70,1397,52047923,B00009WE0D,5
72,1425,10720347,B00IM6WPHU,5
73,1452,52407002,B00O8NVPBI,5
76,1525,52038877,B00CZDT30S,5
78,1555,27793886,B00NBEWB4U,4
79,1561,47339776,B005CT5YV4,5
80,1574,52216285,B00ILCS182,1
86,1640,41124432,B0013REMTE,5
88,1661,52038877,B00FKR062A,5
89,1671,16280842,B00GXNRRIQ,5
91,1685,42579073,B00DM5F19A,5
100,1835,44471416,B00P936188,5
101,1858,17863392,B003L1ZYYM,5
102,1905,40149595,B00RPD7KP8,5
104,1914,27793886,B0094DH1E2,2
105,1922,35107212,B003L1ZYYM,5
107,1954,21536366,B00001WRSJ,5
109,2035,27330416,B000JJI6XA,1
111,2070,16237898,B001D8OGOO,1
113,2164,14266537,B00385XUG0,4
114,2190,16463365,B00001WRSJ,5
119,2262,34245328,B00LFVOTFA,5
120,2266,28038978,B00L1NZTSS,5
121,2312,43848209,B00I05EFO4,5
122,2339,13033672,B004EDXCFE,5
126,2387,7776813,B00KE60MOO,5
127,2398,18960828,B00C4XVOOC,5
128,2435,12855749,B004L0JI94,5
129,2507,50543996,B00NJ2M33I,4
132,2595,10683543,B00NXW2U64,4
133,2610,50960188,B004GAKIKW,5
137,2797,48502881,B00ZIQZBTG,5
138,2852,48530546,B002JZ0T78,2
139,2865,51661986,B003K1FTFM,5
141,2913,41223090,B00IF70T4M,1
142,2918,52539707,B00O8NVPBI,5
143,2954,46189371,B00AMNIRQO,5
145,2998,13303464,B003L6VJLE,5
148,3049,13435048,B00DNJZ58M,5
150,3061,51768397,B003DO5W12,5
151,3062,47466284,B00V9Z6392,2
155,3121,50960188,B00009VT84,5
156,3132,52486923,B00ECRRWTE,5
157,3148,5578307,B000LRLV82,5
158,3199,51371205,B00R9WAYC6,5
160,3237,36970858,B000068NZD,5
162,3258,44585962,B009G4EED0,5
163,3263,50434152,B001CROHU4,5
165,3322,52525017,B000H2WIUQ,5
166,3327,21874318,B007RNCK60,4
167,3402,24553226,B00WK47VEW,4
169,3420,31489774,B003UH9R2C,5
170,3458,37708638,B0012YFXSW,5
172,3495,51050612,B00JB66VX4,4
173,3499,386744,B000W0LMHS,4
176,3533,41715259,B00RFLXC1G,5
177,3534,31489774,B00MITLPX2,2
178,3537,25177691,B006U1VH2S,5
179,3560,37708638,B003P92D9Y,5
180,3564,51220674,B00170HCOO,5
184,3626,29612289,B0016AIYU6,5
185,3663,51692922,B00JST4VHW,5
187,3696,51161353,B00JHKSL0A,4
190,3703,44593464,B00DIFIO8E,4
191,3728,46493284,B000WYVBR0,4
192,3736,22971922,B008KVUAGU,5
193,3749,48992476,B00DRQT37A,5
196,3771,22501292,B0044YPN0A,5
197,3810,32526543,B00B9B4IYI,4
199,3851,52581008,B00PZ6V99U,2
202,3887,47960974,B00LB7HXJM,5
206,3974,48063692,B00NBEWB4U,5
208,4013,43666605,B00M9PL44K,5
209,4023,25507955,B00FYC7K02,2
210,4034,36538983,B004OPXIWY,5
211,4037,44415368,B000JEC7CQ,5
213,4052,22501292,B0012YFXSW,5
214,4068,48629176,B000XP8DJC,4
215,4076,38150573,B007T0W5CA,4
216,4079,11884309,B005ALBYOK,2
217,4085,27979648,B00WK47VEW,2
218,4107,23508574,B00QL4IS3K,5
219,4109,27958819,B003XM9774,5
220,4136,27415400,B008UG6GCC,5
221,4149,17694261,B00429N19W,5
222,4169,27979648,B00TTWZHBW,2
223,4187,51881098,B00B6QXWIY,5
226,4242,21832067,B0081IKTN6,4
227,4286,30373284,B004UR487A,5
228,4295,41192926,B003CJTR82,5
229,4296,37239147,B0072KOHQ4,5
230,4298,11884309,B00C37AZXK,5
231,4320,27091907,B0063NU3AA,5
232,4350,27415400,B00E7H8GG2,5
233,4375,30373284,B00GLZTINS,5
237,4406,30373284,B0040LG96O,5
238,4443,52374656,B00T40LTAW,2
239,4456,32140901,B00Q3OHC94,1
243,4566,43054883,B000UD4LIY,5
244,4574,30538521,B000AL6NVO,1
245,4579,21959784,B00JHKSN5I,5
247,4618,53063711,B005GTO0CY,5
248,4656,37330683,B00DUHUPCS,5
249,4703,10243988,B009ZGK6QS,5
251,4763,14449082,B00ADR2DTG,5
253,4817,17957433,B00CARJGOC,5
254,4825,51385549,B008D6YZXG,5
255,4838,38763028,B00KHZVTJ4,5
256,4853,47335929,B007B9NV8Q,1
257,4880,11030210,B003FVJYF8,4
258,4881,51875884,B00GCDJBMM,4
259,4885,52831383,B00NH11H38,4
261,4930,47058948,B0072KOHQ4,5
262,4939,53088715,B001NIM8GC,5
263,4942,42896660,B000OTEZ5I,5
265,4957,41444032,B00QJGAKCW,5
267,5000,11028216,B00DNJZ58M,4
268,5007,52831383,B000MCGF1O,4
270,5050,27065861,B00T40LTAW,2
271,5080,43823265,B00ISJO088,1
272,5105,43823265,B00JST4VHW,4
274,5133,43823265,B00EA90QGA,4
275,5148,7776813,B008OB228A,5
276,5162,12274617,B00SLUI5SA,4
278,5201,48490303,B00GZC35YK,5
279,5212,34026150,B00393KNVQ,5
280,5219,25115066,B00RFLXDII,5
281,5220,27406,B005LJQMZC,5
283,5233,37895537,B00P7RP5DI,1
284,5238,49825439,B00703BOV4,4
286,5272,20670942,B007T0X5UQ,5
287,5303,17007498,B00WWBH6N4,1
289,5331,26828820,B00BIQER0E,1
290,5361,46995025,B00BW4RWH2,5
291,5396,28235903,B00FJSEAZ4,5
292,5405,15035258,B00P2PQBCY,5
293,5412,24553226,B00BQ8R76K,5
296,5426,14863926,B00KBBR8T4,5
297,5443,52231855,B00001WRSJ,5
300,5501,46269283,B001D8OGOO,4
301,5528,41909057,B00E9G98R2,4
303,5543,46269283,B001TOD7ME,5
305,5588,32642988,B00A9LHLQ6,5
306,5611,52687702,B004OVECU0,4
307,5642,46640176,B003KWKUO6,4
308,5649,12731723,B009EDITMK,5
310,5697,12556954,B00MRUXDXM,5
311,5699,46851614,B004F9LVXC,5
313,5740,20099137,B001DSZAJO,5
314,5747,12731723,B000FCP72Y,5
315,5785,22890062,B00ISHGM7C,2
316,5804,46471150,B00ZWAC25E,5
318,5820,13837826,B001YIHB22,5
319,5824,31301196,B00I4KPBF2,5
321,5847,52477683,B00ET7PG5E,4
322,5851,52007004,B00O15BQCG,5
323,5854,25321782,B003UVVGHW,4
325,5864,52349566,B0007P11M4,5
326,5872,46144136,B00MZ88YXK,4
327,5882,51661986,B00CYQ4LOO,5
329,5966,51155788,B00JHKSL0A,5
331,6020,46631245,B00BB4AECI,1
332,6022,18634707,B00IF70TO2,4
334,6043,50773234,B007BY3PBY,4
335,6059,47058948,B004LQCX5E,5
339,6101,28160604,B0057CVH6W,4
340,6158,49154411,B00M4I1BAY,5
343,6172,33274079,B00MCVPETC,5
345,6261,25321782,B0082821YK,2
347,6282,13568915,B00CE75K0W,5
349,6342,44593464,B00FZ1AAUE,5
350,6380,50029535,B00WZL6WPO,5
352,6412,20644802,B001716LMM,5
353,6437,17435354,B00CQLISDM,1
354,6456,17435354,B00Y0920B4,1
355,6459,17435354,B009ZGK6QS,5
356,6475,27179422,B003L1ZYYM,5
357,6488,41356017,B00SLVB71Q,5
359,6504,20865113,B00D4MPZLK,5
360,6508,36777730,B00EB0RT9U,2
361,6523,14652589,B004CNB5LO,4
362,6530,32171029,B006T65CXE,5
363,6552,33274079,B003BYRGJU,5
365,6567,52754660,B00ESM3JUY,5
368,6602,30669680,B00JHKSLRI,4
371,6635,51774334,B00F5NE2KG,5
376,6669,52805662,B00BHC7ZT4,5
377,6675,16554794,B001WI2I72,5
378,6681,52686929,B000AS9GA2,2
380,6694,12487129,B006P6215A,5
381,6714,19944789,B0073XS3OC,5
382,6721,37020780,B00R19BG7O,1
383,6723,47238836,B00Y0Q9LFU,5
384,6729,52883342,B000WCZJKC,5
385,6736,51746762,B00RT5TE5Q,5
386,6745,18255047,B004SB1TD4,5
387,6751,52707729,B009OCBBGW,2
388,6755,10344165,B00AEBHXY6,5
389,6786,10243988,B004GIDV58,5
391,6813,52231855,B00NH11H38,5
392,6822,14252301,B007R2JEM4,5
393,6828,16554794,B009GUR878,5
394,6835,42363904,B00QPPQRR4,5
396,6858,12487129,B002VWJWWC,5
397,6860,52231855,B001T9NUJE,5
398,6879,51803469,B002GR1YZ0,5
401,6901,12487129,B006YWKCTW,5
402,6908,12380650,B00L4XC7C6,4
404,6971,52872801,B00K589F8A,5
408,7025,33516140,B00QHOCTG6,5
409,7028,12487129,B004FRGGBG,5
414,7079,41178925,B00MCVPETC,5
415,7091,52831383,B00BQO4TXS,4
418,7158,23980244,B008KVUAGU,2
419,7182,12015853,B00JHKSMIG,5
420,7209,13272660,B005YXXTDS,5
421,7212,19073534,B00009WBYK,2
426,7320,28217420,B000IF51UQ,1
428,7349,35107212,B008EQ1YWA,5
430,7388,14756599,B00G6QBCWC,5
431,7406,36336335,B005CNR7B0,5
434,7483,48755970,B005N8W1EW,5
437,7526,2964730,B00393KNVQ,5
440,7571,52231855,B00JHKSMJU,5
441,7612,13418275,B00L1LXOWS,5
442,7643,14985578,B00DK0VBTQ,5
445,7701,13418275,B006QR8W6K,5
449,7806,11280409,B00M5WLZDW,5
450,7815,27147243,B00OH82RXO,5
451,7817,11280409,B00SIYEJY8,5
452,7836,40750270,B0062P6D8A,5
453,7842,51370071,B00JO9XY74,2
454,7847,25355517,B00899WOXK,4
456,7873,20047667,B00RFLXC1G,2
457,7962,52865553,B00FJILVDS,5
459,8019,52442911,B00UG005YU,5
460,8035,51812418,B00AZZNXOK,4
462,8067,23002015,B00KGA6A8A,5
463,8092,49940508,B00BSYCZZ0,2
464,8101,42396986,B00U7W838M,4
